Gene	NoUVB.1	NoUVB.2	NoUVB.3	UVB-Saline.1	UVB-Saline.2	UVB-Saline.3	UVB-hCOL3A1.1	UVB-hCOL3A1.2	UVB-hCOL3A1.3
ENSMUSG00000000001_Gnai3	353	571	628	547	788	587	680	594	470
ENSMUSG00000000003_Pbsn	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028_Cdc45	21	31	41	58	44	60	53	44	36
ENSMUSG00000000031_H19	109	132.11	73.12	70	245	113.36	323	292	400
ENSMUSG00000000037_Scml2	17	28	26	32	42	8	32	22	14
ENSMUSG00000000049_Apoh	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056_Narf	161	201	278	154	244	154	254	235	230
ENSMUSG00000000058_Cav2	77	164	115	76	162	91	163	168	97
ENSMUSG00000000078_Klf6	641	1300	1361	901	1237	875	1258	1264	1028
ENSMUSG00000000085_Scmh1	122	191	180	172	191	151	229	183	181
ENSMUSG00000000088_Cox5a	51.98	66.97	53.93	82.94	114.88	77.97	117.93	99.96	76.86
ENSMUSG00000000093_Tbx2	23	66	34	37	30	40	43	28	33
ENSMUSG00000000094_Tbx4	1	1	3	1	2	1	3	2	4
ENSMUSG00000000103_Zfy2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120_Ngfr	119	57	40	61	61	34	67	39	44
ENSMUSG00000000125_Wnt3	70	123	107	98	201	90	143	104	106
ENSMUSG00000000126_Wnt9a	19	24	24	10	36	17	24	32	27
ENSMUSG00000000127_Fer	313	462	408	396	449	381	537	356	341
ENSMUSG00000000131_Xpo6	334	477	474	461	532	530	632	457	472
ENSMUSG00000000134_Tfe3	181	318	266	263	315	265	343	317	276
ENSMUSG00000000142_Axin2	400.55	657.23	565	510.08	540.51	382.71	566.63	500.86	410.84
ENSMUSG00000000148_Brat1	49	74	57	64	78	43	86	75	52
ENSMUSG00000000149_Gna12	202.63	289.48	252	256	361.5	268.62	520.76	369	337.88
ENSMUSG00000000154_Slc22a18	5	17	8	6	10	13	18	15	12
ENSMUSG00000000157_Itgb2l	0	0	1	0	1	0	0	0	0
ENSMUSG00000000159_Igsf5	0	0	1	0	0	0	0	1	0
ENSMUSG00000000167_Pih1d2	2	8	5	11.31	1	2	8	8	4.05
ENSMUSG00000000168_Dlat	107	192	176	197	244	165	234	216	185
ENSMUSG00000000171_Sdhd	55	111	81	63	105	100	134	98	87
ENSMUSG00000000182_Fgf23	4	8	4	4	1	4	6	1	7
ENSMUSG00000000183_Fgf6	0	0	0	1	0	0	1	3	0
ENSMUSG00000000184_Ccnd2	1398.87	2302.73	1974.68	2613	1961.03	1491.19	2457.77	2131.82	1530.93
ENSMUSG00000000194_Gpr107	245.53	392	362.68	352	447.78	331.12	438.77	337	370.73
ENSMUSG00000000197_Nalcn	9	7	15	8	5	2	3	7	6
ENSMUSG00000000202_Btbd17	1	1	1	0	4	2	1	3	5
ENSMUSG00000000204_Slfn4	53.63	144.6	109.95	133.92	304.05	175.38	271.74	184.65	177.4
ENSMUSG00000000214_Th	0	0	0	0	2	0	0	1	0
ENSMUSG00000000215_Ins2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216_Scnn1g	9	25	32	24	19	37	17	15	13
ENSMUSG00000000223_Drp2	91	296	164	94	137	128	134	109	91
ENSMUSG00000000244_Tspan32	4	12.11	12	8	10.36	12	22.73	4	9.82
ENSMUSG00000000247_Lhx2	131	216	148	236	143.86	68	197	199	114
ENSMUSG00000000248_Clec2g	23.03	36.67	52	32.01	26.04	52.15	22.01	32	29
ENSMUSG00000000253_Gmpr	10.75	16.63	16.68	15.66	17	14.6	19.74	34.8	24.93
ENSMUSG00000000263_Glra1	1	0	1	1	1	0	3	0	0
